county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
33,2011,299401.0,12,29.0,146213728.47427502,FL,ESCAMBIA,9.68600639276422,14.807061928930487,9.68600639276422
33,2012,303423.0,12,25.0,129038513.00400001,FL,ESCAMBIA,8.239322661762621,13.184114832066342,8.239322661762621
33,2013,306694.0,12,17.0,120417456.64995,FL,ESCAMBIA,5.542984212276732,11.630726530637734,5.542984212276732
33,2014,307960.0,12,35.0,128942243.1688125,FL,ESCAMBIA,11.36511235225354,12.109261541833874,11.36511235225354
33,2015,309311.0,12,51.0,128314404.04739997,FL,ESCAMBIA,16.488259389417124,14.987429129395773,16.488259389417124
35,2006,84339.0,12,,21014156.688675,FL,FLAGLER,,14.028622030911139,14.028622030911139
35,2007,90516.0,12,,24315948.1027625,FL,FLAGLER,,14.088496419709609,14.088496419709609
35,2008,93546.0,12,,30735734.122449998,FL,FLAGLER,,15.208641162050228,15.208641162050228
35,2009,94700.0,12,,45097702.3022625,FL,FLAGLER,,14.500168263534942,14.500168263534942
35,2010,96066.0,12,,54755712.9945375,FL,FLAGLER,,15.664955201489008,15.664955201489008
35,2011,97462.0,12,16.0,58417365.165675,FL,FLAGLER,16.416654696189283,14.807061928930487,16.416654696189283
35,2012,98434.0,12,,54255470.529525004,FL,FLAGLER,,13.184114832066342,13.184114832066342
35,2013,99798.0,12,,48631255.984762505,FL,FLAGLER,,11.630726530637734,11.630726530637734
35,2014,101889.0,12,,50312298.23385,FL,FLAGLER,,12.109261541833874,12.109261541833874
35,2015,104436.0,12,11.0,45570959.3136,FL,FLAGLER,10.532766478991919,14.987429129395773,10.532766478991919
37,2006,11308.0,12,,2174577.2229999998,FL,FRANKLIN,,14.028622030911139,14.028622030911139
37,2007,11491.0,12,,2100030.0225,FL,FRANKLIN,,14.088496419709609,14.088496419709609
37,2008,11484.0,12,,2152977.9473625,FL,FRANKLIN,,15.208641162050228,15.208641162050228
37,2009,11515.0,12,,1955987.79,FL,FRANKLIN,,14.500168263534942,14.500168263534942
37,2010,11522.0,12,,2493329.9625,FL,FRANKLIN,,15.664955201489008,15.664955201489008
37,2011,11472.0,12,,2695184.8163625,FL,FRANKLIN,,14.807061928930487,14.807061928930487
37,2012,11612.0,12,,2742248.5275,FL,FRANKLIN,,13.184114832066342,13.184114832066342
37,2013,11521.0,12,,3648692.2463625,FL,FRANKLIN,,11.630726530637734,11.630726530637734
37,2014,11661.0,12,,3280546.59,FL,FRANKLIN,,12.109261541833874,12.109261541833874
37,2015,11707.0,12,,3363248.625,FL,FRANKLIN,,14.987429129395773,14.987429129395773
39,2006,45258.0,12,,6021334.935225,FL,GADSDEN,,14.028622030911139,14.028622030911139
39,2007,45867.0,12,,7141054.1475,FL,GADSDEN,,14.088496419709609,14.088496419709609
39,2008,46319.0,12,,6728634.6435,FL,GADSDEN,,15.208641162050228,15.208641162050228
39,2009,46264.0,12,,7169350.4968125,FL,GADSDEN,,14.500168263534942,14.500168263534942
39,2010,47794.0,12,,7948019.6625,FL,GADSDEN,,15.664955201489008,15.664955201489008
39,2011,47373.0,12,,10060032.75,FL,GADSDEN,,14.807061928930487,14.807061928930487
39,2012,46574.0,12,,8674089.8738625,FL,GADSDEN,,13.184114832066342,13.184114832066342
39,2013,46087.0,12,,7796733.8475,FL,GADSDEN,,11.630726530637734,11.630726530637734
39,2014,46114.0,12,,8251027.5975,FL,GADSDEN,,12.109261541833874,12.109261541833874
39,2015,46060.0,12,,8344101.1049999995,FL,GADSDEN,,14.987429129395773,14.987429129395773
41,2006,16223.0,12,,4032605.95,FL,GILCHRIST,,14.028622030911139,14.028622030911139
41,2007,16610.0,12,,4195956.2895,FL,GILCHRIST,,14.088496419709609,14.088496419709609
41,2008,16797.0,12,,4955842.2,FL,GILCHRIST,,15.208641162050228,15.208641162050228
41,2009,16829.0,12,,6117871.9913625,FL,GILCHRIST,,14.500168263534942,14.500168263534942
41,2010,17000.0,12,,5760958.282725,FL,GILCHRIST,,15.664955201489008,15.664955201489008
41,2011,16994.0,12,,5709070.005,FL,GILCHRIST,,14.807061928930487,14.807061928930487
41,2012,16897.0,12,,5469281.2125,FL,GILCHRIST,,13.184114832066342,13.184114832066342
41,2013,16957.0,12,,5425277.6893125,FL,GILCHRIST,,11.630726530637734,11.630726530637734
41,2014,16991.0,12,,5758768.5788625,FL,GILCHRIST,,12.109261541833874,12.109261541833874
41,2015,17378.0,12,,6760009.2375,FL,GILCHRIST,,14.987429129395773,14.987429129395773
43,2009,12839.0,12,,2627311.2,FL,GLADES,,14.500168263534942,14.500168263534942
43,2010,12869.0,12,,6489442.05,FL,GLADES,,15.664955201489008,15.664955201489008
43,2011,12837.0,12,,4646468.1,FL,GLADES,,14.807061928930487,14.807061928930487
43,2012,12669.0,12,,1898209.5,FL,GLADES,,13.184114832066342,13.184114832066342
43,2013,12670.0,12,,922494.225,FL,GLADES,,11.630726530637734,11.630726530637734
43,2014,12943.0,12,,924516.6,FL,GLADES,,12.109261541833874,12.109261541833874
43,2015,13099.0,12,,1109265.75,FL,GLADES,,14.987429129395773,14.987429129395773
45,2006,15856.0,12,,3543341.6159999995,FL,GULF,,14.028622030911139,14.028622030911139
45,2007,15908.0,12,,3813947.766,FL,GULF,,14.088496419709609,14.088496419709609
45,2008,15851.0,12,,3574032.05,FL,GULF,,15.208641162050228,15.208641162050228
45,2009,15933.0,12,,3494621.7075,FL,GULF,,14.500168263534942,14.500168263534942
45,2010,15825.0,12,,3703516.3874999993,FL,GULF,,15.664955201489008,15.664955201489008
45,2011,15764.0,12,,3866418.2024999997,FL,GULF,,14.807061928930487,14.807061928930487
45,2012,15770.0,12,,4012652.9025,FL,GULF,,13.184114832066342,13.184114832066342
45,2013,15884.0,12,,4059841.1625,FL,GULF,,11.630726530637734,11.630726530637734
45,2014,16002.0,12,,4577245.5600000005,FL,GULF,,12.109261541833874,12.109261541833874
45,2015,15929.0,12,,5414950.9539,FL,GULF,,14.987429129395773,14.987429129395773
47,2006,14430.0,12,,1804899.5505000001,FL,HAMILTON,,14.028622030911139,14.028622030911139
47,2007,14589.0,12,,2249988.7635,FL,HAMILTON,,14.088496419709609,14.088496419709609
47,2008,14785.0,12,,3039991.791,FL,HAMILTON,,15.208641162050228,15.208641162050228
47,2009,14930.0,12,,2305155.3525,FL,HAMILTON,,14.500168263534942,14.500168263534942
47,2010,14683.0,12,,3470682.8288625,FL,HAMILTON,,15.664955201489008,15.664955201489008
47,2011,14595.0,12,,3033594.8775,FL,HAMILTON,,14.807061928930487,14.807061928930487
47,2012,14721.0,12,,2549667.4875,FL,HAMILTON,,13.184114832066342,13.184114832066342
47,2013,14342.0,12,,2919704.175,FL,HAMILTON,,11.630726530637734,11.630726530637734
47,2014,14071.0,12,,2018258.1375,FL,HAMILTON,,12.109261541833874,12.109261541833874
47,2015,14272.0,12,,1831858.3125,FL,HAMILTON,,14.987429129395773,14.987429129395773
49,2006,27049.0,12,,3683203.775,FL,HARDEE,,14.028622030911139,14.028622030911139
49,2007,27489.0,12,,4010144.3125,FL,HARDEE,,14.088496419709609,14.088496419709609
