county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
229,2011,3412.0,48,,,10.510762041968544,10.510762041968544
229,2012,3357.0,48,,,9.643108331165203,9.643108331165203
229,2013,3339.0,48,,,9.382469924535565,9.382469924535565
229,2014,3306.0,48,,,9.98091462955963,9.98091462955963
229,2015,3541.0,48,,,9.551080383817931,9.551080383817931
231,2003,80958.0,48,,,8.526071492045281,8.526071492045281
231,2004,82092.0,48,,,7.5751570676608875,7.5751570676608875
231,2005,82822.0,48,,,8.75774348408746,8.75774348408746
231,2006,83770.0,48,,,12.545769398754976,12.545769398754976
231,2007,84351.0,48,,,9.459096890055822,9.459096890055822
231,2008,84447.0,48,13.0,15.394270962852442,10.073195142204476,15.394270962852442
231,2009,85261.0,48,,,11.214503287680074,11.214503287680074
231,2010,86365.0,48,,,10.423583013677874,10.423583013677874
231,2011,86687.0,48,,,10.510762041968544,10.510762041968544
231,2012,86979.0,48,,,9.643108331165203,9.643108331165203
231,2013,87429.0,48,10.0,11.437852428827963,9.382469924535565,11.437852428827963
231,2014,88639.0,48,,,9.98091462955963,9.98091462955963
231,2015,89670.0,48,,,9.551080383817931,9.551080383817931
233,2003,22773.0,48,,,8.526071492045281,8.526071492045281
233,2004,22478.0,48,,,7.5751570676608875,7.5751570676608875
233,2005,22209.0,48,,,8.75774348408746,8.75774348408746
233,2006,22176.0,48,,,12.545769398754976,12.545769398754976
233,2007,22138.0,48,,,9.459096890055822,9.459096890055822
233,2008,21851.0,48,,,10.073195142204476,10.073195142204476
233,2009,22184.0,48,,,11.214503287680074,11.214503287680074
233,2010,22214.0,48,,,10.423583013677874,10.423583013677874
233,2011,22024.0,48,,,10.510762041968544,10.510762041968544
233,2012,22022.0,48,,,9.643108331165203,9.643108331165203
233,2013,21921.0,48,,,9.382469924535565,9.382469924535565
233,2014,21915.0,48,,,9.98091462955963,9.98091462955963
233,2015,21793.0,48,,,9.551080383817931,9.551080383817931
235,2003,1672.0,48,,,8.526071492045281,8.526071492045281
235,2004,1629.0,48,,,7.5751570676608875,7.5751570676608875
235,2006,1649.0,48,,,12.545769398754976,12.545769398754976
235,2007,1609.0,48,,,9.459096890055822,9.459096890055822
235,2008,1571.0,48,,,10.073195142204476,10.073195142204476
235,2009,1587.0,48,,,11.214503287680074,11.214503287680074
